TimeOn,TimeOff,StationNr,Alarmcode
2024-04-20 01:22:22,,2304529,25
2024-04-20 01:23:10,,2304529,20
2024-04-20 01:23:22,,2304525,20
2024-04-20 01:23:26,,2304529,25
2024-04-20 01:24:10,,2304525,25
2024-04-20 01:24:53,,2304525,20
2024-04-20 01:25:16,,2304525,25
2024-04-20 01:26:00,,2304525,20
2024-04-20 01:26:23,,2304525,25
2024-04-20 01:27:06,,2304525,20
2024-04-20 01:27:30,,2304525,25
2024-04-20 01:28:17,,2304525,20
2024-04-20 01:28:37,,2304525,25
2024-04-20 01:29:24,,2304525,20
2024-04-20 01:29:44,,2304525,25
2024-04-20 01:30:31,,2304525,20
2024-04-20 01:30:53,,2304525,25
2024-04-20 01:31:37,,2304525,20
2024-04-20 01:31:26,,2304521,20
2024-04-20 01:32:18,,2304521,25
2024-04-20 01:32:27,,2304525,25
2024-04-20 01:33:12,,2304525,20
2024-04-20 01:33:05,,2304521,20
2024-04-20 01:34:17,,2304525,25
2024-04-20 01:34:04,,2304521,25
2024-04-20 01:35:00,,2304525,20
2024-04-20 01:34:54,,2304521,20
2024-04-20 01:36:18,,2304521,25
2024-04-20 01:36:30,,2304525,25
2024-04-20 01:37:10,,2304525,20
2024-04-20 01:37:01,,2304521,20
2024-04-20 01:39:08,,2304526,20
2024-04-20 01:43:41,,2304521,25
2024-04-20 01:48:18,,2304525,25
2024-04-20 01:48:35,,2304526,25
2024-04-20 01:49:07,,2304525,20
2024-04-20 01:49:16,,2304526,20
2024-04-20 01:49:56,,2304528,20
2024-04-20 01:50:47,,2304526,25
2024-04-20 01:51:40,,2304526,20
2024-04-20 01:53:49,,2304528,25
2024-04-20 01:54:38,,2304528,20
2024-04-20 01:55:08,2024-04-20 01:58:12,2304515,3130
2024-04-20 01:55:08,,2304515,115
2024-04-20 01:55:51,,2304515,168
2024-04-20 01:56:29,,2304515,173
2024-04-20 01:57:36,,2304515,111
2024-04-20 01:57:47,,2304515,111
2024-04-20 01:57:58,,2304515,111
2024-04-20 01:58:13,,2304515,115
2024-04-20 02:01:21,,2304515,20
2024-04-20 02:01:41,,2304515,25
2024-04-20 02:02:05,2024-04-20 02:05:27,2304522,3130
2024-04-20 02:02:05,,2304522,115
2024-04-20 02:02:49,,2304522,168
2024-04-20 02:03:26,,2304522,172
2024-04-20 02:04:51,,2304522,111
2024-04-20 02:05:19,2024-04-20 02:11:13,2304525,3130
2024-04-20 02:05:20,,2304525,115
2024-04-20 02:05:02,,2304522,111
2024-04-20 02:05:13,,2304522,111
2024-04-20 02:05:29,,2304525,25
2024-04-20 02:05:28,,2304522,115
2024-04-20 02:06:21,,2304525,160
2024-04-20 02:06:21,,2304525,160
2024-04-20 02:06:34,,2304525,159
2024-04-20 02:06:58,,2304525,172
2024-04-20 02:06:58,,2304525,173
2024-04-20 02:06:58,,2304525,174
2024-04-20 02:07:13,2024-04-20 02:10:29,2304527,3130
2024-04-20 02:07:14,,2304527,115
2024-04-20 02:07:22,,2304525,172
2024-04-20 02:07:22,,2304525,173
2024-04-20 02:07:22,,2304525,174
2024-04-20 02:07:33,,2304525,172
2024-04-20 02:07:33,,2304525,173
